symbol,short_win,long_win,dev_win,hurst_config,signal_price_col,trade_price_col,return_mode,min_chunk,n_scales,min_segments,min_valid_scales,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,turnover,final_nav,active_ratio
J,60,140,20,rs_robust,close,open,open_to_open,10,12,3,4,0.04605525383677245,0.2227227515739131,0.20678288819311968,0.3945408822198556,0.11673125881821399,0.4864649681528662,1.141004721148604,8.943217665615142,1.573214042220391,0.48580441640378547
J,40,140,40,rs_default,close,open,open_to_open,8,8,2,3,0.04578094574364533,0.2255825620891864,0.20294541084937834,0.5041679569432881,0.09080494924986883,0.48974763406940064,1.1253703597214286,9.340694006309148,1.5690673244698874,0.48974763406940064
J,40,140,60,rs_default,close,open,open_to_open,8,8,2,3,0.03272431204807047,0.22472062458488098,0.1456222013823654,0.5532930352055812,0.05914463036013357,0.48307184145334436,1.1418096640246016,9.638801261829652,1.3827125670887992,0.4664826498422713
J,40,140,20,rs_robust,close,open,open_to_open,10,12,3,4,0.03324758975273734,0.24273116286315988,0.13697289363492535,0.608440668638754,0.054643930733823516,0.476601871850252,1.166815907002336,10.73186119873817,1.3897794174760416,0.5347003154574133
J,20,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.034613967964223,0.2582810569844217,0.13401667303193185,0.475853732401489,0.07274077223170414,0.4866989117291415,1.1158237139391252,10.831230283911673,1.408385940064973,0.6415615141955836
J,20,140,40,rs_robust,close,open,open_to_open,10,12,3,4,0.030691682003397558,0.2593412036940857,0.11834479660856716,0.5374860658993428,0.057102284041620745,0.49443757725587145,1.0794964891940186,11.029968454258675,1.3555679260265938,0.6269716088328076
J,60,140,40,rs_robust,close,open,open_to_open,10,12,3,4,0.00902892621085205,0.20498712115118717,0.04404630964202289,0.4744073711462673,0.019032010799149852,0.4856895056374675,1.0996953710748287,7.750788643533123,1.0946720100751333,0.44637223974763407
J,80,140,60,rs_robust,close,open,open_to_open,10,12,3,4,0.0031188887784470154,0.21586999434601134,0.014447995831453281,0.5551984139698766,0.00561761110977568,0.4880952380952381,1.082540687561794,6.657728706624606,1.0318342749327378,0.4589905362776025
J,80,140,20,rs_robust,close,open,open_to_open,10,12,3,4,-0.0021056015257456817,0.2177814425177733,-0.00966841573553193,0.6373015049671985,-0.0033039330824333386,0.48381452318460194,1.0946519887027046,7.055205047318612,0.9790113489341568,0.44558359621451105
J,20,140,60,rs_robust,close,open,open_to_open,10,12,3,4,-0.005408559601636664,0.25459317429392037,-0.021243930111781554,0.6530580778960569,-0.008281896794020685,0.4834478450968145,1.0936493058750272,10.433753943217665,0.9468858602750693,0.6218454258675079
J,40,140,60,rs_robust,close,open,open_to_open,10,12,3,4,-0.019729739544144698,0.23404820997794976,-0.08429775876518553,0.6586040913539084,-0.029956904008272698,0.4734042553191489,1.1209170657384275,9.837539432176657,0.8182929327263434,0.5074921135646687
J,80,140,40,rs_robust,close,open,open_to_open,10,12,3,4,-0.01952226006919111,0.21621807852638167,-0.0902896751383771,0.6464994258116423,-0.03019687147391052,0.48211243611584326,1.0789234646047183,6.657728706624606,0.820037563065813,0.4589905362776025
J,40,140,40,rs_robust,close,open,open_to_open,10,12,3,4,-0.037706697463237515,0.23611377133705264,-0.15969715467977158,0.702024783117615,-0.05371134804641257,0.4749090909090909,1.0938340800182518,10.03627760252366,0.67922676029705,0.5311514195583596
J,20,140,60,rs_default,close,open,open_to_open,8,8,2,3,-0.06414606516575683,0.2532539970593812,-0.2532874738822634,0.69542732081055,-0.09223978300276134,0.47961783439490446,1.053031994695438,10.63249211356467,0.5131598245483748,0.6088328075709779
JM,60,140,60,rs_default,close,open,open_to_open,8,8,2,3,0.15103069696622984,0.20702718220420369,0.7295210964966858,0.36227240693811447,0.4168981519810583,0.5004314063848145,1.2291489965284468,8.14826498422713,4.118580832902052,0.4522870662460568
JM,40,140,60,rs_default,close,open,open_to_open,8,8,2,3,0.14068578945471177,0.22526093094066194,0.624545893809571,0.26942075471557736,0.5221787371326727,0.5045267489711934,1.1741416534572586,9.738170347003155,3.7608836778876342,0.4727917981072555
JM,80,140,40,rs_default,close,open,open_to_open,8,8,2,3,0.10654777722397202,0.21798183776434388,0.4887919944007392,0.4374281315390992,0.2435777892223841,0.5075825156110616,1.1365641532635669,7.055205047318612,2.7700873122417993,0.44203470031545744
JM,60,140,40,rs_default,close,open,open_to_open,8,8,2,3,0.09802759931893368,0.21655889582576096,0.4526602287342874,0.5094060891094565,0.19243507569826165,0.4915254237288136,1.1877170362029381,8.24763406940063,2.5627791582782087,0.4842271293375394
JM,80,140,60,rs_default,close,open,open_to_open,8,8,2,3,0.09352712071901315,0.21645073187565306,0.4320942687906583,0.43279656257637145,0.21609949987185795,0.5062439961575408,1.1313712873983148,6.856466876971609,2.459013731144184,0.40891167192429023
JM,60,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.06392615421087688,0.22646701191137697,0.2822757878568779,0.5703878383285402,0.11207488995243228,0.4963768115942029,1.133381395167886,7.55205047318612,1.8656214112228313,0.42902208201892744
JM,60,140,40,rs_robust,close,open,open_to_open,10,12,3,4,0.06443865588651132,0.2338704942408202,0.2755313623280661,0.5350727657284948,0.12042970603966155,0.4841592201462226,1.1805645129842997,8.446372239747634,1.8746850852575638,0.4798895899053628
JM,80,140,20,rs_default,close,open,open_to_open,8,8,2,3,0.05934792493189733,0.22021740146741448,0.26949698133041966,0.5154683490005167,0.11513398455399215,0.49856459330143543,1.1229322574010567,6.2602523659306,1.7863886711931332,0.4120662460567823
JM,60,140,20,rs_robust,close,open,open_to_open,10,12,3,4,0.05897837066979794,0.24307464750453048,0.24263480899915196,0.6113296100513802,0.09647556686292523,0.4801795063575168,1.1863184208735356,9.440063091482651,1.7801271798675982,0.5193217665615142
JM,60,140,60,rs_robust,close,open,open_to_open,10,12,3,4,0.03461777523207865,0.2378046021086211,0.14557235194408233,0.6643375984110813,0.052108709961434,0.4790468364831553,1.1678309388752715,9.042586750788644,1.4084380970797539,0.4720031545741325
JM,40,140,40,rs_robust,close,open,open_to_open,10,12,3,4,0.030261335762933772,0.2515009653032892,0.120322940814327,0.5883255934725837,0.05143637485548887,0.4807692307692308,1.1473863136227407,10.433753943217665,1.3498828322738976,0.5496845425867508
JM,40,140,40,rs_default,close,open,open_to_open,8,8,2,3,0.025978136782496497,0.23142297626784686,0.11225392223989737,0.4594772861334123,0.056538456995572944,0.4850686037126715,1.1248211668628911,9.638801261829652,1.2944588335422273,0.48225552050473186
JM,40,140,60,rs_robust,close,open,open_to_open,10,12,3,4,0.026098078764275057,0.25065464940759263,0.10411966754239874,0.5883255934725835,0.044359924255940514,0.4807976366322009,1.143939878948069,10.433753943217665,1.2959825359702486,0.5291798107255521
JM,40,140,20,rs_robust,close,open,open_to_open,10,12,3,4,0.014529282021867873,0.25205988434428106,0.0576421831647862,0.515915704396525,0.028162123963376945,0.4774052478134111,1.1462781843726997,10.433753943217665,1.1562283558503308,0.5358832807570978
JM,80,140,60,rs_robust,close,open,open_to_open,10,12,3,4,0.008200488940020234,0.23013805544477195,0.03563291140255667,0.6007738155530502,0.01364987742095778,0.49176062445793584,1.0772902002198959,8.048895899053628,1.0856610009960026,0.4507097791798107
JM,80,140,40,rs_robust,close,open,open_to_open,10,12,3,4,-0.001108954018950059,0.2372748090193845,-0.0046737115648018985,0.6393303588152398,-0.001734555544969101,0.4962901896125309,1.0475993386290536,8.048895899053628,0.9888959674950015,0.4747634069400631
JM,40,140,20,rs_default,close,open,open_to_open,8,8,2,3,-0.022141768947260276,0.24816123706744506,-0.08922331790779478,0.5606782941200623,-0.03949104001254397,0.48019017432646594,1.0925399899773394,9.241324921135647,0.7982548283375112,0.4921135646687697
JM,80,140,20,rs_robust,close,open,open_to_open,10,12,3,4,-0.02484931449488159,0.2322796808764655,-0.10698014738576006,0.6784876317146417,-0.036624565184900405,0.487012987012987,1.0557655514317235,8.048895899053628,0.7762890237331559,0.4842271293375394
JM,20,140,60,rs_default,close,open,open_to_open,8,8,2,3,-0.07793983923890258,0.26465010917116094,-0.29450144374773496,0.8159986654070518,-0.09551466508835914,0.4798870853916726,1.038806742130788,11.427444794952683,0.44193161592938157,0.5485015772870663
JM,20,140,40,rs_default,close,open,open_to_open,8,8,2,3,-0.08272205869286797,0.2691602919631023,-0.3073338124637191,0.8081890685575427,-0.10235483491568434,0.47714681440443213,1.0473605073316246,11.228706624605678,0.41940017287822445,0.5603312302839116
JM,20,140,20,rs_default,close,open,open_to_open,8,8,2,3,-0.08639439382033887,0.2766823621271665,-0.3122511791359905,0.7774846059845373,-0.111120391523298,0.4744479495268139,1.0606327170194831,12.023659305993691,0.4028061115633842,0.6167192429022083
JM,20,140,40,rs_robust,close,open,open_to_open,10,12,3,4,-0.09650326584829483,0.2681618163180088,-0.35986952644239684,0.7252756684654713,-0.1330573601793028,0.47058823529411764,1.061660963646512,12.023659305993691,0.3601368476013942,0.5875394321766562
JM,20,140,20,rs_robust,close,open,open_to_open,10,12,3,4,-0.10631186768056466,0.26438100082219573,-0.4021161405318328,0.7521344737097235,-0.14134688861714687,0.472630173564753,1.0407615014974245,11.427444794952683,0.3226714982803008,0.5808359621451105
JM,20,140,60,rs_robust,close,open,open_to_open,10,12,3,4,-0.12776161857167434,0.27003828318726375,-0.47312409582709186,0.8115497737086738,-0.15742918390306593,0.470189701897019,1.0309822061656366,12.421135646687697,0.2526869059624998,0.5709779179810726
